"word","n"
"worry",17
"amount",16
"anxiety",16
"behavior",16
"bekind",16
"car",16
"chance",16
"cheap",16
"common",16
"coughing",16
"covid19canada",16
"credit",16
"debt",16
"eggs",16
"employee",16
"ensure",16
"evening",16
"financial",16
"habits",16
"happy",16
"huge",16
"issue",16
"leaving",16
"limited",16
"lysol",16
"notice",16
"phone",16
"queue",16
"rush",16
"saturday",16
"set",16
"single",16
"spend",16
"spreads",16
"survive",16
"talk",16
"tests",16
"touch",16
"traffic",16
"weekly",16
"woman",16
"afternoon",15
"aisles",15
"boost",15
"brand",15
"breaking",15
"causing",15
"cdc",15
"coronaviruscanada",15
"covd19",15
"diet",15
"easy",15
"facing",15
"fighting",15
"foodbanks",15
"happening",15
"human",15
"learn",15
"lol",15
"loo",15
"losing",15
"mad",15
"madness",15
"monday",15
"neighbors",15
"offer",15
"offering",15
"offers",15
"past",15
"precautions",15
"putting",15
"quarantineandchill",15
"question",15
"recession",15
"spreading",15
"story",15
"stress",15
"takes",15
"thousands",15
"ticket",15
"tissue",15
"top",15
"towels",15
"16",14
"60",14
"act",14
"add",14
"afraid",14
"airline",14
"apparently",14
"arent",14
"assistance",14
"bog",14
"ceo",14
"created",14
"damn",14
"dear",14
"delivered",14
"direct",14
"epidemic",14
"explain",14
"fall",14
"falling",14
"finally",14
"forced",14
"fucking",14
"funds",14
"gift",14
"giving",14
"havent",14
"head",14
"immune",14
"looked",14
"medicaid",14
"ontario",14
"pack",14
"peoples",14
"pile",14
"play",14
"preparing",14
"profit",14
"quickly",14
"rate",14
"rely",14
"residents",14
"sale",14
"season",14
"smart",14
"soup",14
"spending",14
"spring",14
"sunday",14
"talking",14
"thread",14
"tweet",14
"wiped",14
"y'all",14
"absolutely",13
"airlines",13
"answer",13
"article",13
"bags",13
"bitcoin",13
"brands",13
"buyers",13
"cards",13
"caused",13
"checkout",13
"creating",13
"cure",13
"decided",13
"deliveries",13
"difficult",13
"emptying",13
"europe",13
"favorite",13
"flight",13
"flights",13
"freaking",13
"gt",13
"guy",13
"increasing",13
"listen",13
"message",13
"onlineshopping",13
"opportunity",13
"packs",13
"paying",13
"pickup",13
"pls",13
"psa",13
"purchases",13
"raise",13
"relief",13
"remote",13
"runs",13
"sad",13
"selfisolating",13
"seniors",13
"sitting",13
"station",13
"street",13
"strong",13
"term",13
"toiletpaperpanic",13
"total",13
"uncertainty",13
"walking",13
"whats",13
"wouldnt",13
"acting",12
"affecting",12
"air",12
"avoiding",12
"bag",12
"beginning",12
"bet",12
"bottles",12
"canceled",12
"catch",12
"citizens",12
"combat",12
"completely",12
"confidence",12
"confirming",12
"coronavirusuk",12
"cover",12
"dad",12
"dangerous",12
"dealing",12
"digital",12
"emails",12
"event",12
"expanded",12
"experiencing",12
"fill",12
"fridaythe13th",12
"fruit",12
"fun",12
"future",12
"giant",12
"hospital",12
"immediately",12
"key",12
"la",12
"lack",12
"lady",12
"law",12
"luck",12
"missing",12
"nation",12
"nationalemergency",12
"neighborhood",12
"note",12
"options",12
"police",12
"population",12
"providing",12
"queues",12
"rates",12
"rationing",12
"rights",12
"rn",12
"russia",12
"sanitiser",12
"scare",12
"sellers",12
"shutdown",12
"space",12
"spent",12
"tesco",12
"tinned",12
"toronto",12
"touching",12
"town",12
"trust",12
"vitamins",12
"walk",12
"wear",12
"wondering",12
"word",12
"1000",11
"500",11
"additional",11
"anymore",11
"asian",11
"aware",11
"black",11
"book",11
"box",11
"canceleverything",11
"carry",11
"charge",11
"cheese",11
"chill",11
"classes",11
"code",11
"concern",11
"cough",11
"cream",11
"death",11
"department",11
"dollar",11
"donation",11
"drink",11
"dropping",11
"dry",11
"earlier",11
"emptied",11
"expected",11
"expensive",11
"experts",11
"exposed",11
"exposure",11
"games",11
"grocers",11
"ground",11
"homes",11
"hospitals",11
"husband",11
"inflated",11
"internet",11
"kroger",11
"location",11
"london",11
"main",11
"matter",11
"medications",11
"move",11
"movie",11
"planning",11
"pm",11
"posts",11
"pricegouging",11
"privilege",11
"ran",11
"reach",11
"rising",11
"scary",11
"scenes",11
"send",11
"shift",11
"shutting",11
"sign",11
"spain",11
"special",11
"stand",11
"surrounding",11
"survival",11
"threat",11
"wanna",11
"washing",11
"weve",11
"wipe",11
"worker",11
"wow",11
"wuhan",11
"wuhanvirus",11
"13",10
"202",10
"8",10
"action",10
"activities",10
"address",10
"alert",10
"begin",10
"benefits",10
"biggest",10
"butter",10
"canadian",10
"child",10
"click",10
"college",10
"coronavirusireland",10
"critical",10
"declared",10
"distribution",10
"doctor",10
"drivers",10
"drug",10
"effort",10
"energy",10
"facebook",10
"fake",10
"federal",10
"fellow",10
"fine",10
"fuel",10
"game",10
"german",10
"greedy",10
"growing",10
"handle",10
"hear",10
"heres",10
"hoarders",10
"hungry",10
"ice",10
"idiots",10
"keeping",10
"kinda",10
"link",10
"lowering",10
"massive",10
"metro",10
"midst",10
"misinformation",10
"nationwide",10
"neighbours",10
"noticed",10
"nuts",10
"owners",10
"package",10
"packages",10
"prep",10
"purchasing",10
"questions",10
"reached",10
"recent",10
"reduce",10
"rent",10
"research",10
"restock",10
"result",10
"rich",10
"sa",10
"selfisolation",10
"short",10
"slow",10
"society",10
"south",10
"sports",10
"statement",10
"step",10
"stockup",10
"students",10
"suffering",10
"surfaces",10
"surge",10
"suspending",10
"systems",10
"thursday",10
"unnecessary",10
"war",10
"wife",10
"worrying",10
"wtf",10
"11",9
"24",9
"40",9
"70",9
"affect",9
"andor",9
"beef",9
"bills",9
"books",9
"building",9
"cereal",9
"changing",9
"cities",9
"class",9
"collection",9
"committed",9
"conditions",9
"coronauk",9
"cos",9
"covid19aus",9
"create",9
"deadly",9
"details",9
"dm",9
"driving",9
"dropped",9
"effective",9
"exorbitant",9
"familiesfirst",9
"faster",9
"fault",9
"fed",9
"feels",9
"flour",9
"force",9
"fridge",9
"friendly",9
"gold",9
"grab",9
"heart",9
"helpful",9
"highly",9
"holiday",9
"housing",9
"id",9
"impacted",9
"includes",9
"india",9
"inventory",9
"isolate",9
"joke",9
"late",9
"litter",9
"mall",9
"malls",9
"manila",9
"manufacturers",9
"meal",9
"minutes",9
"netflix",9
"nonperishable",9
"nurse",9
"officials",9
"overheard",9
"panicbuyers",9
"panickbuying",9
"papers",9
"parking",9
"perfect",9
"perishable",9
"power",9
"practice",9
"prepper",9
"prime",9
"protecting",9
"quick",9
"reading",9
"respond",9
"rt",9
"scams",9
"shares",9
"shelter",9
"shes",9
"slots",9
"source",9
"standing",9
"stayhome",9
"staythefhome",9
"stories",9
"streets",9
"super",9
"totally",9
"trolley",9
"updated",9
"wonderful",9
"worldwide",9
"york",9
"zombie",9
"1st",8
"800",8
"ad",8
"affordable",8
"age",8
"animals",8
"antibacterial",8
"arrived",8
"babies",8
"basically",8
"beer",8
"behaviour",8
"booked",8
"bunch",8
"cashier",8
"cashiers",8
"coffee",8
"contracting",8
"convenience",8
"cope",8
"county",8
"coverage",8
"crashed",8
"crashing",8
"crude",8
"curious",8
"cutting",8
"date",8
"disaster",8
"disinfectant",8
"driver",8
"earth",8
"easily",8
"education",8
"effects",8
"encourage",8
"encouraging",8
"enter",8
"expert",8
"facemask",8
"failed",8
"feeling",8
"flattenthecurve",8
"funny",8
"gathering",8
"gel",8
"glad",8
"handling",8
"handsanitizer",8
"hardships",8
"hike",8
"hire",8
"homeless",8
"hoping",8
"horse",8
"humanity",8
"humans",8
"illegal",8
"indian",8
"informal",8
"instore",8
"isle",8
"isolated",8
"killing",8
"levels",8
"liquid",8
"locations",8
"luckily",8
"medicines",8
"meter",8
"middle",8
"ministry",8
"mode",8
"multiple",8
"n95",8
"nike",8
"nonperishables",8
"nyc",8
"patient",8
"paycheck",8
"physical",8
"picked",8
"picking",8
"pictures",8
"platforms",8
"playing",8
"policy",8
"preparation",8
"preparedness",8
"prescription",8
"priorities",8
"reaction",8
"recently",8
"reduced",8
